Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine,Power,Seats,Car_Age,Engine_to_Power,KM_per_Year,Mileage
2014,40929,CNG,Manual,First,998.0,58.2,4.0,11,16.85810810810811,3410.75,32.26
2013,54493,Petrol,Manual,Second,796.0,47.3,5.0,12,16.48033126293996,4191.7692307692305,24.7
2017,34000,Diesel,Manual,First,2393.0,147.8,7.0,8,16.081989247311828,3777.777777777778,13.68
2012,139000,Diesel,Manual,First,1364.0,93.7,5.0,13,14.667842445620222,9928.57142857143,23.59
2014,29000,Petrol,Manual,First,1197.0,82.85,5.0,11,14.275491949910556,2416.6666666666665,18.5
2016,85609,Diesel,Manual,Second,2179.0,140.0,7.0,9,15.453900709219859,8560.9,16.0
2015,59000,Diesel,Automatic,First,2982.0,168.7,7.0,10,17.57218621096052,5363.636363636364,12.55
2013,65000,Petrol,Manual,First,814.0,55.2,5.0,12,14.483985765124554,5000.0,21.1
2011,66000,Petrol,Manual,Second,1497.0,118.0,5.0,14,12.579831932773109,4400.0,17.0
2015,54684,Diesel,Manual,First,2179.0,140.0,7.0,10,15.453900709219859,4971.272727272727,15.1
2012,78000,Diesel,Automatic,Second,1968.0,167.6,5.0,13,11.672597864768683,5571.428571428572,12.8
2016,21000,Petrol,Manual,First,1197.0,82.0,5.0,9,14.421686746987952,2100.0,18.9
2007,90000,Petrol,Manual,Third,1794.0,125.0,5.0,18,14.238095238095237,4736.8421052631575,13.4
2008,87628,Diesel,Manual,First,1248.0,75.0,5.0,17,16.42105263157895,4868.222222222223,17.8
2014,45000,Petrol,Manual,First,1598.0,102.5,5.0,11,15.439613526570048,3750.0,13.24
2013,30788,Diesel,Automatic,First,1995.0,184.0,5.0,12,10.783783783783784,2368.3076923076924,17.05
2015,39524,Diesel,Automatic,First,1995.0,184.0,5.0,10,10.783783783783784,3593.090909090909,19.59
2009,140000,Diesel,Manual,First,1399.0,68.0,5.0,16,20.27536231884058,8235.29411764706,13.8
2019,15409,Petrol,Automatic,First,1197.0,81.8,5.0,6,14.456521739130435,2201.285714285714,22.0
2015,36502,Petrol,Manual,First,1298.0,85.8,5.0,10,14.953917050691246,3318.3636363636365,17.5
2016,200000,Diesel,Manual,First,1248.0,73.94,5.0,9,16.653322658126502,20000.0,23.2
2010,70000,Petrol,Manual,First,1198.0,75.0,5.0,15,15.763157894736842,4375.0,18.06
2017,36701,Petrol,Manual,First,796.0,47.3,5.0,8,16.48033126293996,4077.8888888888887,24.7
2009,72000,Petrol,Manual,Second,1461.0,93.7,5.0,16,14.667842445620222,4235.294117647059,17.5
2011,40000,Petrol,Manual,Second,1799.0,132.0,5.0,14,13.526315789473685,2666.6666666666665,15.5
2005,47000,Petrol,Manual,Second,1299.0,70.0,5.0,20,18.295774647887324,2238.095238095238,13.8
2006,93500,Petrol,Manual,Second,796.0,46.3,5.0,19,16.82875264270613,4675.0,19.7
2015,52000,Diesel,Manual,First,1498.0,98.6,5.0,10,15.040160642570282,4727.272727272727,27.3
2015,55429,Diesel,Automatic,Second,1498.0,103.52,5.0,10,14.332185227707617,5039.0,21.66
2011,133000,Petrol,Manual,Second,1197.0,80.0,5.0,14,14.777777777777779,8866.666666666666,17.0
2014,70000,Diesel,Manual,Second,1364.0,67.06,5.0,11,20.04114017043785,5833.333333333333,23.59
2014,68000,Diesel,Manual,First,1598.0,103.6,5.0,11,15.277246653919695,5666.666666666667,15.11
2010,71000,Petrol,Manual,Second,1086.0,68.05,5.0,15,15.727733526430123,4437.5,19.81
2012,121000,Diesel,Manual,First,2835.0,107.2,6.0,13,26.201478743068392,8642.857142857143,10.5
2015,107000,Diesel,Manual,First,1248.0,74.0,5.0,10,16.64,9727.272727272728,23.4
2015,51000,Petrol,Manual,First,1197.0,85.8,5.0,10,13.790322580645162,4636.363636363636,19.1
2017,13500,Petrol,Automatic,First,1598.0,103.52,5.0,8,15.288939915805589,1500.0,14.84
2016,13000,Petrol,Manual,First,1591.0,121.3,5.0,9,13.008994276369583,1300.0,15.29
2010,81000,Diesel,Manual,First,2494.0,102.0,8.0,15,24.21359223300971,5062.5,12.8
2012,66889,Diesel,Automatic,First,1995.0,190.0,5.0,13,10.44502617801047,4777.785714285715,22.48
2018,32000,Diesel,Manual,First,1248.0,74.0,5.0,7,16.64,4000.0,27.39
2013,87001,Diesel,Automatic,First,1968.0,174.33,5.0,12,11.224547995209033,6692.384615384615,17.11
2013,55000,Diesel,Automatic,Second,1968.0,140.0,5.0,12,13.957446808510639,4230.7692307692305,16.55
2018,4000,Petrol,Manual,First,1598.0,103.52,5.0,7,15.288939915805589,500.0,15.41
2017,27778,Diesel,Manual,First,1248.0,88.5,7.0,8,13.94413407821229,3086.4444444444443,24.52
2017,5000,Petrol,Manual,First,1373.0,91.1,5.0,8,14.90770901194354,555.5555555555555,20.73
2014,72000,Petrol,Manual,First,1373.0,91.1,5.0,11,14.90770901194354,6000.0,20.73
2015,21000,Diesel,Automatic,First,2143.0,136.0,5.0,10,15.642335766423358,1909.090909090909,20.0
2015,59299,Diesel,Manual,First,2494.0,100.6,7.0,10,24.54724409448819,5390.818181818182,12.99
2014,75000,Diesel,Automatic,First,1995.0,184.0,5.0,11,10.783783783783784,6250.0,18.88
2019,3413,Petrol,Manual,First,796.0,47.3,5.0,6,16.48033126293996,487.57142857142856,24.7
2014,62000,Diesel,Manual,First,1498.0,89.84,5.0,11,16.490532804931746,5166.666666666667,22.7
2010,105001,Diesel,Automatic,First,2953.0,153.86,7.0,15,19.068836368332686,6562.5625,11.4
2013,89000,Diesel,Automatic,First,1968.0,174.3,5.0,12,11.226468910439246,6846.153846153846,14.16
2014,21000,Petrol,Manual,First,1591.0,121.3,5.0,11,13.008994276369583,1750.0,17.01
2014,50000,Diesel,Manual,First,2179.0,140.0,7.0,11,15.453900709219859,4166.666666666667,15.1
2016,70687,Diesel,Manual,First,1248.0,88.5,5.0,9,13.94413407821229,7068.7,24.3
2016,104350,Diesel,Manual,First,1364.0,67.04,5.0,9,20.047031158142268,10435.0,23.59
2011,150000,Diesel,Manual,Second,1396.0,69.0,5.0,14,19.942857142857143,10000.0,19.09
2008,81000,Petrol,Manual,First,1497.0,78.0,5.0,17,18.949367088607595,4500.0,17.7
2008,89000,Petrol,Manual,Second,1798.0,138.1,5.0,17,12.925952552120776,4944.444444444444,14.53
2017,35223,Petrol,Manual,First,1197.0,82.0,5.0,8,14.421686746987952,3913.6666666666665,18.9
2015,48000,Petrol,Manual,First,1197.0,81.83,5.0,10,14.451285766026801,4363.636363636364,18.6
2015,60000,Diesel,Manual,First,1498.0,88.8,5.0,10,16.6815144766147,5454.545454545455,20.14
2018,7000,Petrol,Manual,First,998.0,67.0,5.0,7,14.676470588235293,875.0,23.0
2015,47572,Petrol,Manual,First,1199.0,82.5,5.0,10,14.359281437125748,4324.727272727273,18.2
2010,72727,Diesel,Manual,Second,2179.0,120.0,8.0,15,18.00826446280992,4545.4375,15.4
2018,4708,Diesel,Manual,First,1498.0,108.62,5.0,7,13.665389527458492,588.5,21.66
2009,55000,Petrol,Manual,Second,998.0,67.1,5.0,16,14.654919236417035,3235.294117647059,18.9
2013,44198,Petrol,Manual,Second,1198.0,86.8,5.0,12,13.644646924829157,3399.846153846154,18.4
2015,35000,Petrol,Manual,First,1373.0,93.7,7.0,10,14.498416050686378,3181.818181818182,16.02
2013,63831,Petrol,Manual,First,1086.0,62.0,5.0,12,17.238095238095237,4910.076923076923,0.0
2017,17540,Petrol,Manual,First,1196.0,86.8,5.0,8,13.621867881548976,1948.888888888889,18.16
2017,14000,Petrol,Automatic,First,1199.0,84.0,5.0,8,14.105882352941176,1555.5555555555557,23.84
2007,47000,Petrol,Manual,Second,1086.0,93.7,5.0,18,14.667842445620222,2473.684210526316,0.0
2010,75422,Petrol,Manual,Second,1199.0,79.4,5.0,15,14.912935323383083,4713.875,18.6
2011,67000,Diesel,Manual,Second,1461.0,63.1,5.0,14,22.792511700468022,4466.666666666667,23.08
2013,79999,Diesel,Manual,First,2494.0,100.0,8.0,12,24.693069306930692,6153.7692307692305,12.99
2017,5044,Petrol,Manual,First,1197.0,81.86,5.0,8,14.44605358435916,560.4444444444445,20.14
2016,31601,Petrol,Manual,First,1373.0,91.1,5.0,9,14.90770901194354,3160.1,20.73
2014,70000,Diesel,Automatic,First,1995.0,190.0,5.0,11,10.44502617801047,5833.333333333333,18.12
